"","MONTH","HOUR_IN_DAY","DIFFUSED","DIRECT"
"1",1,0,0,0
"13",1,1,0,0
"25",1,2,0,0
"37",1,3,0,0
"49",1,4,0,0
"61",1,5,0,0
"73",1,6,0,0
"85",1,7,0,0
"97",1,8,0.115261958997722,0.0123006833712984
"109",1,9,5.57076994006455,0.91701244813278
"121",1,10,16.2547300415321,4.85832948777111
"133",1,11,25.6323800738007,10.2472324723247
"145",1,12,30.609778597786,14.0567343173432
"157",1,13,30.9114391143911,14.4806273062731
"169",1,14,26.2085832948777,11.3645592985695
"181",1,15,17.6337638376384,6.26522140221402
"193",1,16,6.98939114391144,1.54658671586716
"205",1,17,0.238942088463292,0.032375740994072
"217",1,18,0,0
"229",1,19,0,0
"241",1,20,0,0
"253",1,21,0,0
"265",1,22,0,0
"277",1,23,0,0
"2",2,0,0,0
"14",2,1,0,0
"26",2,2,0,0
"38",2,3,0,0
"50",2,4,0,0
"62",2,5,0,0
"74",2,6,0,0
"86",2,7,0.0332159033719175,0.00603925515853045
"98",2,8,4.55288707204905,0.910066428206438
"110",2,9,17.5166070516096,6.50945324476239
"122",2,10,31.2021494370522,15.6806550665302
"134",2,11,41.4458077709611,24.3583844580777
"146",2,12,46.8865610628513,28.9386816555953
"158",2,13,47.4320735444331,28.7895812053115
"170",2,14,42.4729038854806,24.3905930470348
"182",2,15,32.6915219611849,17.4887640449438
"194",2,16,19.6649642492339,8.58069458631256
"206",2,17,6.61593462717058,1.67466802860061
"218",2,18,0.0498740554156171,0.0110831234256927
"230",2,19,0,0
"242",2,20,0,0
"254",2,21,0,0
"266",2,22,0,0
"278",2,23,0,0
"3",3,0,0,0
"15",3,1,0,0
"27",3,2,0,0
"39",3,3,0,0
"51",3,4,0,0
"63",3,5,0,0
"75",3,6,0.0851160673645881,0.00955848884842968
"87",3,7,5.64730290456432,1.38174273858921
"99",3,8,20.7556477639465,9.92438911940987
"111",3,9,37.5384970032273,23.9824804057169
"123",3,10,51.7573800738007,39.0004612546125
"135",3,11,61.7163972286374,50.0872979214781
"147",3,12,66.4379326257499,56.0290724503922
"159",3,13,65.9949215143121,56.6920590951062
"171",3,14,61.0106039649608,50.6735822959889
"183",3,15,50.7074296262114,40.539916935856
"195",3,16,37.8233394833948,25.9935424354244
"207",3,17,22.3600737667128,11.5477178423237
"219",3,18,7.08160442600277,1.87229137851544
"231",3,19,0.106102003642987,0.011384335154827
"243",3,20,0,0
"255",3,21,0,0
"267",3,22,0,0
"279",3,23,0,0
"4",4,0,0,0
"16",4,1,0,0
"28",4,2,0,0
"40",4,3,0,0
"52",4,4,0,0
"64",4,5,0.0898823529411765,0.00752941176470588
"76",4,6,6.47898758357211,1.6189111747851
"88",4,7,22.5711556829035,12.0744985673352
"100",4,8,40.0496894409938,30.6602962255136
"112",4,9,56.297943567671,52.9120038259206
"124",4,10,68.719541328237,70.9507883420927
"136",4,11,77.605828953655,81.9378881987578
"148",4,12,82.0525812619503,85.7437858508604
"160",4,13,82.0544672718586,84.0597228858098
"172",4,14,77.8396946564885,76.0052480916031
"184",4,15,69.3940839694657,63.7208969465649
"196",4,16,56.6746183206107,47.5329198473282
"208",4,17,40.7350835322196,28.8167064439141
"220",4,18,23.2639618138425,11.6949880668258
"232",4,19,7.08826335877863,1.73139312977099
"244",4,20,0.0686735653809972,0.0117591721542803
"256",4,21,0,0
"268",4,22,0,0
"280",4,23,0,0
"5",5,0,0,0
"17",5,1,0,0
"29",5,2,0,0
"41",5,3,0,0
"53",5,4,0.00908677873693776,0.00181735574738755
"65",5,5,4.58812529219261,0.958391771856007
"77",5,6,19.7170252572498,9.75958840037418
"89",5,7,36.9340196537202,28.5989705194197
"101",5,8,52.9003275620028,53.4150678521292
"113",5,9,67.1095505617977,76.8192883895131
"125",5,10,79.231850117096,96.5878220140515
"137",5,11,88.7044172932331,106.037593984962
"149",5,12,93.3889934148636,107.336782690499
"161",5,13,93.4535211267606,102.281220657277
"173",5,14,89.2224824355972,93.4819672131148
"185",5,15,80.4962581852198,79.2572497661366
"197",5,16,68.5425631431244,62.3376987839102
"209",5,17,52.9130028063611,43.8685687558466
"221",5,18,35.5839177185601,24.6030855539972
"233",5,19,18.9995320542817,8.93261581656528
"245",5,20,4.46002805049088,0.946236559139785
"257",5,21,0.00227169468423444,0.000908677873693776
"269",5,22,0,0
"281",5,23,0,0
"6",6,0,0,0
"18",6,1,0,0
"30",6,2,0,0
"42",6,3,0,0
"54",6,4,0.364672364672365,0.0460588793922127
"66",6,5,9.54718779790277,2.60343183984747
"78",6,6,25.4804575786463,14.2459485224023
"90",6,7,42.7671755725191,33.7080152671756
"102",6,8,59.4434907010014,57.1235097758703
"114",6,9,74.2010506208214,78.9780324737345
"126",6,10,85.8852223816356,94.531324725012
"138",6,11,93.0124700239808,105.038848920863
"150",6,12,97.978886756238,109.412188099808
"162",6,13,98.9095260890378,106.126376256582
"174",6,14,95.6183644189383,96.4203730272597
"186",6,15,86.859799713877,84.9504053409633
"198",6,16,74.199714013346,69.7931363203051
"210",6,17,58.5152526215443,51.404671115348
"222",6,18,41.6123032904149,31.9608965188364
"234",6,19,25.2236528373867,14.622794468288
"246",6,20,9.85414680648236,2.9556720686368
"258",6,21,0.367996201329535,0.0332383665716999
"270",6,22,0,0
"282",6,23,0,0
"7",7,0,0,0
"19",7,1,0,0
"31",7,2,0,0
"43",7,3,0,0
"55",7,4,0.0757156048014774,0.00646352723915051
"67",7,5,6.41374474053296,1.47452080411407
"79",7,6,21.5553997194951,10.9677419354839
"91",7,7,38.7512856474988,29.5759700794764
"103",7,8,55.5142589995325,52.5726975222066
"115",7,9,71.3416003743566,73.9078146934956
"127",7,10,83.3467477772578,90.8525970987366
"139",7,11,92.8737681839512,100.6912247771
"151",7,12,97.476771468794,101.647583294228
"163",7,13,98.1742388758782,101.156908665105
"175",7,14,93.3676333021515,94.3091674462114
"187",7,15,84.8363721365124,82.2669471715755
"199",7,16,71.6334735857878,66.8667601683029
"211",7,17,56.6680691912108,48.4969611968209
"223",7,18,40.2577174929841,28.9808231992516
"235",7,19,22.9467040673212,12.2000935016363
"247",7,20,7.41841982234689,1.90369331463301
"259",7,21,0.0628465804066543,0.00739371534195933
"271",7,22,0,0
"283",7,23,0,0
"8",8,0,0,0
"20",8,1,0,0
"32",8,2,0,0
"44",8,3,0,0
"56",8,4,0,0
"68",8,5,0.879814385150812,0.101624129930394
"80",8,6,11.3225806451613,3.71575502571295
"92",8,7,28.9251986909771,17.5998129967274
"104",8,8,47.0434985968195,38.7946679139383
"116",8,9,63.0682561944834,61.6867695184666
"128",8,10,75.7075339260646,81.523631258774
"140",8,11,84.9344875994385,94.629386991109
"152",8,12,89.7950397753861,98.1651848385587
"164",8,13,90.5640785781104,96.0500467726848
"176",8,14,86.0327562002808,88.8755264389331
"188",8,15,76.3914873713751,75.6604303086997
"200",8,16,63.3057503506311,57.8167367928939
"212",8,17,46.969144460028,37.6320710612436
"224",8,18,29.166432912576,18.4249649368864
"236",8,19,12.0074836295603,4.3133769878391
"248",8,20,1.00881670533643,0.132250580046404
"260",8,21,0,0
"272",8,22,0,0
"284",8,23,0,0
"9",9,0,0,0
"21",9,1,0,0
"33",9,2,0,0
"45",9,3,0,0
"57",9,4,0,0
"69",9,5,0,0
"81",9,6,1.25838926174497,0.169702780441035
"93",9,7,13.0517158047366,5.02658289028516
"105",9,8,30.3711938134364,20.4649589173514
"117",9,9,46.1006289308176,40.7972907595549
"129",9,10,59.5742622157716,60.3444605708757
"141",9,11,69.0062893081761,71.6768263183358
"153",9,12,73.0406386066763,76.4900822447992
"165",9,13,72.7369439071567,73.6175048355899
"177",9,14,67.3768115942029,65.716425120773
"189",9,15,57.8019323671498,53.1347826086957
"201",9,16,44.6555555555556,36.83961352657
"213",9,17,28.3278529980658,18.8737911025145
"225",9,18,11.3721604639923,4.70855485741904
"237",9,19,0.984172661870504,0.189928057553957
"249",9,20,0,0
"261",9,21,0,0
"273",9,22,0,0
"285",9,23,0,0
"10",10,0,0,0
"22",10,1,0,0
"34",10,2,0,0
"46",10,3,0,0
"58",10,4,0,0
"70",10,5,0,0
"82",10,6,0,0
"94",10,7,1.39211136890951,0.211600928074246
"106",10,8,12.2086263478669,4.53398968588842
"118",10,9,26.7457786116323,16.0722326454034
"130",10,10,39.2975129047396,29.9910839981229
"142",10,11,48.0215759849906,41.8925891181989
"154",10,12,52.4170571696345,46.4597000937207
"166",10,13,51.6221284575715,45.4477262072199
"178",10,14,46.7394564198688,38.1935332708529
"190",10,15,37.4817244611059,27.5149953139644
"202",10,16,24.4449132676981,14.606188466948
"214",10,17,9.81443298969072,3.87628865979381
"226",10,18,0.787470997679814,0.155452436194896
"238",10,19,0,0
"250",10,20,0,0
"262",10,21,0,0
"274",10,22,0,0
"286",10,23,0,0
"11",11,0,0,0
"23",11,1,0,0
"35",11,2,0,0
"47",11,3,0,0
"59",11,4,0,0
"71",11,5,0,0
"83",11,6,0,0
"95",11,7,0.000476190476190476,0
"107",11,8,1.22504798464491,0.120441458733205
"119",11,9,9.89898501691638,2.35427742870952
"131",11,10,20.7388781431335,8.13539651837524
"143",11,11,29.7870280735721,14.0498547918683
"155",11,12,33.8990338164251,17.0096618357488
"167",11,13,33.302078298695,16.6297728371194
"179",11,14,28.0425326244563,12.6853552440793
"191",11,15,19.2663122281295,7.26727887868535
"203",11,16,8.31899468342194,2.08313194780087
"215",11,17,0.668746999519923,0.0974555928948632
"227",11,18,0,0
"239",11,19,0,0
"251",11,20,0,0
"263",11,21,0,0
"275",11,22,0,0
"287",11,23,0,0
"12",12,0,0,0
"24",12,1,0,0
"36",12,2,0,0
"48",12,3,0,0
"60",12,4,0,0
"72",12,5,0,0
"84",12,6,0,0
"96",12,7,0,0
"108",12,8,0,0
"120",12,9,3.44730679156909,0.403747072599532
"132",12,10,12.5587822014052,3.09508196721311
"144",12,11,20.9142053445851,6.89029535864979
"156",12,12,25.1640881387717,9.68917018284107
"168",12,13,24.985935302391,9.54289732770745
"180",12,14,20.3940955951265,6.93439550140581
"192",12,15,12.3187998124707,2.94655414908579
"204",12,16,3.27574906367041,0.3937265917603
"216",12,17,0,0
"228",12,18,0,0
"240",12,19,0,0
"252",12,20,0,0
"264",12,21,0,0
"276",12,22,0,0
"288",12,23,0,0
