"","IRRADIANCE","MONTH","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","DIFFUSED",1,NA,0,4847,4943,5866,4749,5019,4447,3765,5222,5283,5036,4906,4328,4883,4464,4595,5197,6563,5343,4519,5172,4857,5464,4290,5045,5852,4804,5009,4760,5145,5351,4769,4463,6054,5618,5232,5342,4359,4793,6180,5076,5047,4595,4682,4882,3994,3747,5924,4665,5518,5001,4357,4885,5103,4478,5214,5018,4668,5208,4789,5194,5023,4881,5225,4974,4752,4563,4648,4960,4684,4921
"13","DIRECT",1,NA,0,3635,1158,2959,3069,1568,1456,483,3758,3118,2515,1620,3781,2025,1794,3783,1675,3112,1992,681,633,1161,977,1002,1795,2896,1353,617,1591,1792,1920,551,1353,986,1312,1469,1946,824,1154,1484,1137,2053,1837,2570,1308,3624,1676,3490,718,1869,2216,2976,2941,2417,2861,2291,2982,1712,2485,1847,4163,1714,2012,2893,988,1953,2343,939,1664,1055,2531
"2","DIFFUSED",2,NA,0,9699,7313,8337,8637,8290,7847,8429,8456,9129,10611,8101,8002,8316,7853,7891,8075,9712,9032,8146,7782,8335,7511,7431,8039,7390,7527,7383,5517,6947,8165,7676,9139,9661,7568,8211,9300,7673,6899,8495,9821,5549,6933,7594,8086,8783,7323,7571,9230,8206,8341,8196,7839,8341,8248,8924,7989,7527,7305,7937,7676,8183,8879,7443,9857,7733,7914,7323,8513,8331,8446
"14","DIRECT",2,NA,0,4542,4968,4429,3018,2939,3045,3343,7828,6547,4391,2085,5067,4211,4878,3936,3594,3848,6156,3747,2204,4300,4142,3556,2736,3166,3139,2231,2614,6268,5205,2858,4538,3784,2829,4084,5932,4646,3003,4884,5817,4451,3287,4572,6930,4514,2445,4092,4195,4388,5551,5256,4794,3407,4239,4204,6204,8820,4427,4725,3553,3523,5453,2142,2796,6749,7125,1265,8023,8236,3999
"3","DIFFUSED",3,NA,0,15415,14721,14620,15675,15066,14203,14564,14122,16332,17205,13844,16468,14922,11591,15680,17050,17674,14304,14731,14689,16491,14448,13827,15728,15534,13552,14650,16931,14383,16493,14112,15964,15756,16925,14453,15563,14300,15725,14972,12942,15851,14657,14371,14274,17284,14146,18432,15425,15788,15686,15796,14665,14155,14676,14867,14161,14695,16463,15673,16263,13962,16244,14914,16229,13757,13110,14925,15564,13491,14777
"15","DIRECT",3,NA,0,7578,17128,18240,12642,10968,16233,20338,10057,13001,16687,13978,7065,15466,11575,10338,10685,11219,9558,13044,7949,10970,12929,12585,11203,12374,14152,12168,10763,11602,8942,6403,9164,7465,8488,6218,12395,5669,12211,5449,8744,13533,5982,13370,9673,9966,7663,11369,6275,12216,9581,13505,12071,9733,5947,9168,10392,15787,11291,12878,8220,17111,11420,7337,9796,19196,17866,14323,15927,12601,9172
"4","DIFFUSED",4,NA,0,21635,19733,19847,21724,19844,22874,20704,22036,22470,19108,22746,21508,20693,18870,22173,23465,20880,20122,19751,20044,21585,20907,19125,19550,20387,21894,21217,19874,19192,21677,20981,23846,22590,19924,22293,21810,20957,20937,20966,20415,18885,23453,20599,21562,22611,24288,24088,23720,16918,19311,19934,22729,21666,21853,23102,20712,21485,20490,22051,22451,19279,20985,19283,22177,21872,23330,24318,22471,20179,22535
"16","DIRECT",4,NA,0,24837,24582,23298,14614,25911,22255,34698,21126,15684,9756,24075,12709,22864,19127,22622,14950,17174,16010,10353,15838,16403,25101,19659,9834,18570,12865,13152,22847,15417,20352,12891,19362,13149,16321,20043,22044,13042,19029,15974,9724,20808,21146,13034,21939,16982,14297,23941,17096,16255,26602,20217,12356,19767,23418,13421,15643,24728,23116,28647,14498,34785,17245,36086,24127,25006,17810,15684,23408,27534,21973
"5","DIFFUSED",5,NA,0,30866,27607,26695,25800,28146,27874,27844,26679,31573,27139,27702,27610,26429,30304,27509,29775,27614,32349,25801,26237,28809,33356,26051,28121,24927,26473,27647,23484,27300,25421,25047,27804,28755,27966,27359,28217,29049,27654,29704,24629,25254,29301,27536,27519,27428,27197,28442,27724,26811,25145,29664,28187,26827,24994,23862,26856,0,27440,27384,27805,26047,28404,24300,26125,25394,26180,26761,24945,31479,27022
"17","DIRECT",5,NA,0,36459,30337,28847,29305,22873,24910,28899,34239,27927,29275,30632,20739,35304,22390,14301,14816,28500,27092,24677,30090,29232,19541,25750,24524,29999,16999,24622,22983,28815,27430,29978,24831,30435,38406,27902,28300,14648,16433,26206,30573,20187,31574,39101,35727,20897,37668,28914,25304,30297,12180,25026,28936,34400,39220,39836,24313,0,21953,27757,28587,33715,38192,33672,11963,39002,33773,22454,24854,26104,35211
"6","DIFFUSED",6,NA,0,31502,27416,28279,27444,31569,30143,29732,27951,31553,30334,26591,27750,27617,26091,27986,29712,30736,33201,31663,28943,30280,32490,26393,30177,26567,31096,28201,27791,29464,28272,33596,30791,31334,29634,31743,32709,29431,26784,30363,25529,28088,27657,29107,30680,30400,29978,30364,31141,26381,30482,28018,32181,32789,29445,31411,30928,25404,31604,27679,30203,29071,27548,27349,25910,26375,28844,27594,28305,27501,29081
"18","DIRECT",6,NA,0,36771,35015,21953,35202,29581,27716,24434,29542,24273,14741,39893,23153,41929,33567,36306,30506,29839,34710,23623,27403,26567,30909,31805,40471,17463,28957,33862,23101,28599,42254,19884,25892,26375,22745,18782,22606,29783,12823,20151,35147,16227,22285,30272,16180,22136,35999,26306,27799,23598,24845,35465,22082,22585,33440,21731,24319,43096,20188,34588,36586,28081,41267,24614,39971,37124,18912,33191,28182,30225,36010
"7","DIFFUSED",7,NA,0,33199,26115,28544,30578,28603,28090,32977,27715,32450,27836,28120,31691,24945,27885,30606,31283,31332,31606,29110,30845,32302,33539,29288,30075,27715,29860,28413,28736,29585,29073,28812,33293,32530,27853,32949,32256,30113,25099,30428,31385,27306,32038,30071,29643,28451,30238,31204,26462,29817,28993,28694,30437,28506,32789,27878,27884,23895,28117,26338,24349,27705,26057,30248,27340,24585,28235,25013,27050,27935,0
"19","DIRECT",7,NA,0,33926,29679,25869,28498,29235,32681,24802,12300,26060,32991,24568,28607,30816,20931,16533,21585,30477,28448,18443,20023,28526,26630,32627,25498,40429,26010,28416,16573,29689,33584,22949,19983,13872,17321,15890,38295,38712,16219,30665,23449,27036,24562,24262,29214,38980,26488,21301,47665,38941,21413,30049,22678,33697,12663,32310,20832,33140,27672,26580,51295,23752,30395,27659,40659,21922,28101,44171,35980,32875,0
"8","DIFFUSED",8,NA,0,26997,24017,21370,25466,26323,25342,26506,26068,26002,26423,26036,26307,25904,25145,25095,26828,26016,24896,23584,25269,26852,27133,23841,26714,23637,24862,22018,25048,21483,23940,26168,25549,28997,22887,25545,29163,25306,28798,27147,25641,24914,26556,22983,22528,26338,26276,26661,24112,22861,25389,24958,24344,26532,24897,24360,24975,20442,23250,21899,25607,24232,24031,22381,25093,24708,22645,24200,26089,21982,NA
"20","DIRECT",8,NA,0,31638,22633,33222,28395,20500,21223,26186,18238,24991,17752,18562,24801,21821,17584,17631,13012,18493,18067,26900,20914,19815,23672,24300,23738,28986,21256,33554,21487,33522,26492,14078,20539,22347,22768,19542,23911,25444,22655,23517,20439,14989,23036,22707,30090,20149,20097,23557,24325,34026,26559,29167,23264,22505,29109,22348,24957,37360,28020,27795,17140,27107,21633,34374,17279,22099,29788,28502,23956,36486,NA
"9","DIFFUSED",9,NA,0,18241,18805,15938,20391,17085,18116,16791,18932,19028,15987,17067,15926,14975,16022,16544,17742,18871,15335,18963,17499,17681,16698,15225,16910,16858,18260,16406,18390,17828,16084,16477,16596,19101,17556,17683,21374,17979,18983,18712,16221,18222,17997,18084,16565,16780,18989,18606,17137,17386,17523,16725,17750,16957,17731,17906,17704,14407,14944,14378,15103,16290,19157,16513,15337,16659,17776,15042,15943,17757,NA
"21","DIRECT",9,NA,0,19947,16600,22582,10956,20808,12321,21447,13419,14626,21125,11494,21686,28791,17100,19894,14132,14828,19702,14903,14216,9443,12506,19823,17773,14987,13743,12694,14602,15055,12302,15925,6289,13620,16501,15565,17475,11097,7447,13487,10539,11814,12155,17452,10407,19503,15299,9480,10261,12810,12984,19959,9504,21578,15116,7174,19425,23060,21880,24049,25230,15034,12297,21208,15320,20572,20063,13610,15392,18021,NA
"10","DIFFUSED",10,NA,0,11052,10334,11860,11879,10142,10999,11464,11712,10758,10967,11305,11914,9159,9032,11518,11166,11603,9662,11234,10727,11113,11499,10646,9159,10479,10083,10353,9514,8768,9856,10990,10633,10651,11506,12434,11733,11113,11879,11245,11330,10342,10691,11014,10983,11388,10878,11972,10331,11653,12266,11399,10110,11026,11436,11453,10862,9744,9110,11189,11439,11189,11047,10048,11513,10268,10456,10681,11670,9037,NA
"22","DIRECT",10,NA,0,12297,7881,10585,7381,18490,2727,9229,6496,7035,8480,6446,7158,14647,4283,11060,6135,6613,7982,11505,5594,7334,5471,7570,4648,11568,10677,7466,3032,4045,4104,6663,5038,13167,7242,5380,6064,6013,6215,6509,8999,8773,7040,8783,11343,13350,8312,8655,11928,10457,5730,8407,3925,9432,5778,7814,7685,11511,9602,13267,8629,8890,7732,6264,9868,13218,10931,8289,8317,10529,NA
"11","DIFFUSED",11,NA,0,4726,6033,5180,5047,5509,4735,5128,6168,5538,4666,4268,4640,5702,6334,4660,5862,6190,4852,6300,5887,6358,3928,5271,5355,5170,5070,5617,5534,5544,5519,5738,5323,5237,5324,6144,6201,5904,6569,5770,6905,3999,5367,5442,4639,5875,5665,5162,5741,5832,5479,5579,6099,6205,6387,5613,5795,5677,5721,5741,5685,6007,5590,6187,5442,6097,5599,5389,5328,5775,NA
"23","DIRECT",11,NA,0,1459,2712,3461,1093,1153,906,2944,2896,3345,2257,2183,1631,2336,2525,1964,2114,2204,1328,1780,1509,3371,1656,2742,2626,2497,1804,4254,1277,2549,1623,1975,1639,1486,1639,2652,3578,2522,2555,1507,3701,498,2920,3906,2016,2215,1816,1187,2938,3169,973,2792,1741,3538,5533,2491,2609,3708,1992,3827,4120,2053,1659,2481,831,5577,2416,1929,2900,3097,NA
"12","DIFFUSED",12,0,0,2561,4197,3426,3655,3704,4275,3941,3644,4241,3591,3404,3791,3928,3685,4174,4566,4528,3980,3953,3649,3832,3153,3706,3611,2836,4123,4042,3620,2933,4263,3725,3457,3538,4324,4794,3702,4308,4009,3883,3462,3291,3188,3575,3644,3310,4377,3733,4093,3618,4027,3505,4011,4045,4392,3657,3953,3558,3473,3474,4389,3864,3578,3988,3932,3838,3753,3862,3683,4522,NA
"24","DIRECT",12,0,0,894,2525,1097,893,1642,1266,1218,810,1169,1283,1185,1226,664,1037,2323,1164,1485,889,602,487,570,1462,997,887,227,2347,1343,991,475,1257,585,818,618,963,1026,998,1010,818,1011,901,1037,973,1904,1472,1632,1635,786,2189,768,2041,942,1861,1195,2104,1144,2096,3048,1066,1379,1688,1372,1205,743,450,831,1236,1912,1067,2174,NA
